,dt,bid_count,position_count,cash_value,positions_value,total_value
127,2020-03-12,1,8,21436.22680892944,59890.96851348877,81327.1953224182
128,2020-03-13,0,8,21436.22680892944,65889.96562957764,87326.19243850707
129,2020-03-16,0,8,21436.22680892944,57468.42403411865,78904.65084304809
130,2020-03-17,0,8,21436.22680892944,60527.83145904541,81964.05826797485
131,2020-03-18,1,9,6693.465483856198,72974.70035552979,79668.16583938598
132,2020-03-19,0,9,6693.465483856198,74744.25392150879,81437.71940536499
133,2020-03-20,1,8,8910.84590950012,70172.48916625977,79083.33507575988
134,2020-03-23,0,8,8910.84590950012,70412.29858398438,79323.14449348449
135,2020-03-24,1,9,2827.729610824583,83158.07914733887,85985.80875816345
136,2020-03-25,1,8,8853.185448074339,76926.15852355957,85779.3439716339
137,2020-03-26,0,8,8853.185448074339,81674.66239929199,90527.84784736633
138,2020-03-27,1,8,8853.185448074339,78960.9561920166,87814.14164009094
139,2020-03-30,2,8,18186.415993118284,73242.53940582275,91428.95539894103
140,2020-03-31,0,8,18186.415993118284,71852.38857269287,90038.80456581115
141,2020-04-01,0,8,18186.415993118284,68292.98248291016,86479.39847602844
142,2020-04-02,0,8,18186.415993118284,69881.4416885376,88067.85768165588
143,2020-04-03,1,9,11636.059630203245,75319.05765533447,86955.11728553772
144,2020-04-06,1,9,8187.576393508909,83587.82348632812,91775.39987983703
145,2020-04-07,0,9,8187.576393508909,83648.82431030273,91836.40070381164
146,2020-04-08,0,9,8187.576393508909,86296.52481079102,94484.10120429992
147,2020-04-09,1,9,1067.623791885374,94571.50802612305,95639.13181800842
148,2020-04-13,0,9,1067.623791885374,94888.58814239502,95956.21193428039
149,2020-04-14,0,9,1067.623791885374,98463.12980651855,99530.75359840393
150,2020-04-15,2,8,12624.868407058713,84628.4013748169,97253.26978187561
151,2020-04-16,0,8,12624.868407058713,85248.75030517578,97873.6187122345
152,2020-04-17,0,8,12624.868407058713,87532.31906890869,100157.18747596741
153,2020-04-20,1,7,27784.757338333126,71358.46767425537,99143.22501258849
154,2020-04-21,1,8,14029.906917190547,82193.8066482544,96223.71356544494
155,2020-04-22,0,8,14029.906917190547,83959.12322998047,97989.03014717101
156,2020-04-23,0,8,14029.906917190547,83902.05917358398,97931.96609077453
157,2020-04-24,1,9,8904.203942489621,90879.20761108398,99783.4115535736
158,2020-04-27,1,9,8904.203942489621,93378.08570861816,102282.28965110779
159,2020-04-28,0,9,8904.203942489621,93333.35571289062,102237.55965538025
