date,action,company,yahoo_ticker,currency,num_shares,stock_price_usd,trading_costs_usd,total_usd,total_shares_held,return
"06/21/2022, 11:39:04",BUY,HBAN,HBAN,USD,826,12.0968184,0,9991.972002,826,0.00011062
"06/21/2022, 11:50:58",SELL,HBAN,HBAN,USD,826,12.075,0,-9973.95,0,-0.001803648
"06/21/2022, 11:50:58",BUY,HBAN,HBAN,USD,826,12.10499954,0,9998.729622,826,4.35E-05
"06/21/2022, 12:02:44",SELL,HBAN,HBAN,USD,826,12.115,0,-10006.99,0,0.000826143
"06/21/2022, 12:02:44",BUY,NXPI,NXPI,USD,62,159.9199982,0,9915.039886,62,4.01E-06
"06/21/2022, 12:16:31",SELL,NXPI,NXPI,USD,62,159.9375,0,-9916.125,0,0.000109441
"06/21/2022, 12:16:31",BUY,GOOG,GOOG,USD,4,2241.600098,0,8966.400391,4,4.08E-05
"06/21/2022, 12:29:18",SELL,GOOG,GOOG,USD,4,2246,0,-8984,0,0.00196284
"06/21/2022, 12:29:18",BUY,MKC,MKC,USD,119,83.59629737,0,9947.959387,119,3.91E-05
"06/21/2022, 12:41:04",SELL,MKC,MKC,USD,119,83.56,0,-9943.64,0,-0.000434198
"06/21/2022, 12:41:04",BUY,MKC,MKC,USD,119,83.59629737,0,9947.959387,119,3.91E-05
"06/21/2022, 12:52:49",SELL,MKC,MKC,USD,119,83.6328,0,-9952.3032,0,0.000436654
"06/21/2022, 12:52:49",BUY,HBAN,HBAN,USD,826,12.09500027,0,9990.470221,826,0.000410565
"06/21/2022, 13:05:16",SELL,HBAN,HBAN,USD,826,12.09,0,-9986.34,0,-0.000413416
"06/21/2022, 13:05:16",BUY,HBAN,HBAN,USD,827,12.07749987,0,9988.09239,827,0.000379101
"06/21/2022, 13:17:06",SELL,HBAN,HBAN,USD,827,12.0834,0,-9992.9718,0,0.000488523
"06/21/2022, 13:17:06",BUY,FRT,FRT,USD,104,95.91999817,0,9975.67981,104,0.000193519
"06/21/2022, 13:28:50",SELL,FRT,FRT,USD,104,95.799,0,-9963.096,0,-0.001261449
"06/21/2022, 13:28:50",BUY,FIS,FIS,USD,107,92.83039856,0,9932.852646,107,3.30E-05
"06/21/2022, 13:43:08",SELL,FIS,FIS,USD,107,92.81,0,-9930.67,0,-0.00021974
"06/21/2022, 13:43:08",BUY,HBAN,HBAN,USD,826,12.10000038,0,9994.600315,826,0.000120137
"06/21/2022, 13:56:35",SELL,HBAN,HBAN,USD,826,12.12,0,-10011.12,0,0.001652861
"06/21/2022, 13:56:35",BUY,MPC,MPC,USD,109,91.45999908,0,9969.1399,109,5.59E-06
"06/21/2022, 14:12:22",SELL,MPC,MPC,USD,109,91.67,0,-9992.03,0,0.002296096
"06/21/2022, 14:12:22",BUY,FRT,FRT,USD,104,95.33287405,0,9914.618902,104,8.88E-05
"06/21/2022, 14:26:07",SELL,FRT,FRT,USD,104,95.27,0,-9908.08,0,-0.000659521
"06/21/2022, 14:26:07",BUY,FIS,FIS,USD,107,93.20999908,0,9973.469902,107,2.77E-05
"06/21/2022, 14:40:51",SELL,FIS,FIS,USD,107,93.09,0,-9960.63,0,-0.001287406
"06/21/2022, 14:40:51",BUY,GOOG,GOOG,USD,4,2243.050049,0,8972.200195,4,0.000394883
"06/21/2022, 14:55:37",SELL,GOOG,GOOG,USD,4,2242.14,0,-8968.56,0,-0.000405719
"06/21/2022, 14:55:37",BUY,ESS,ESS,USD,39,256,0,9984,39,7.57E-05
"06/21/2022, 15:08:21",SELL,ESS,ESS,USD,39,255.33,0,-9957.87,0,-0.002617187
"06/21/2022, 15:08:21",BUY,MKC,MKC,USD,119,83.76000214,0,9967.440254,119,0.001389506
"06/21/2022, 15:20:04",SELL,MKC,MKC,USD,119,83.57,0,-9944.83,0,-0.002268411
"06/22/2022, 13:45:23",BUY,MTD,MTD,USD,9,1105.045044,0,9945.405396,9,7.95E-05
"06/23/2022, 11:47:31",SELL,MTD,MTD,USD,9,1105.045044,0,-9945.405396,0,0
"06/23/2022, 11:47:31",BUY,NEE,NEE,USD,130,76.52999878,0,9948.899841,130,0.000101187
"06/23/2022, 12:00:38",SELL,NEE,NEE,USD,130,76.65,0,-9964.5,0,0.001568029
"06/23/2022, 12:00:38",BUY,DHI,DHI,USD,149,66.94999695,0,9975.549545,149,3.09E-05
"06/23/2022, 12:14:24",SELL,DHI,DHI,USD,149,67.0001,0,-9983.0149,0,0.000748365
"06/23/2022, 12:14:24",BUY,MA,MA,USD,31,314.2550049,0,9741.905151,31,0.000294052
"06/23/2022, 12:27:10",SELL,MA,MA,USD,31,314.63,0,-9753.53,0,0.001193283
"06/23/2022, 12:27:10",SELL,GOOG,GOOG,USD,4,2228.044922,0,-8912.179688,-4,0
"06/23/2022, 12:41:54",BUY,GOOG,GOOG,USD,4,2221.95,0,8887.8,0,-0.002735547
"06/23/2022, 12:41:54",BUY,NEE,NEE,USD,130,76.77999878,0,9981.399841,130,4.86E-05
"06/23/2022, 12:56:40",SELL,NEE,NEE,USD,130,76.97,0,-10006.1,0,0.002474619
"06/23/2022, 12:56:40",BUY,MA,MA,USD,31,314.5799866,0,9751.979584,31,8.56E-05
"06/23/2022, 13:10:28",SELL,MA,MA,USD,31,315.82,0,-9790.42,0,0.003941806
"06/23/2022, 13:10:28",BUY,NEE,NEE,USD,129,77.09999847,0,9945.899803,129,9.90E-05
"06/23/2022, 13:26:16",SELL,NEE,NEE,USD,129,77.17,0,-9954.93,0,0.000907932
"06/23/2022, 13:26:16",BUY,MA,MA,USD,31,315.4672713,0,9779.48541,31,0.000125675
"06/23/2022, 13:41:03",SELL,MA,MA,USD,31,316.7,0,-9817.7,0,0.003907628
"06/23/2022, 13:41:03",BUY,NEE,NEE,USD,129,77.26589966,0,9967.301056,129,3.63E-05
"06/23/2022, 13:55:53",SELL,NEE,NEE,USD,129,77.1,0,-9945.9,0,-0.002147126
"06/23/2022, 13:55:53",BUY,HUM,HUM,USD,21,455.0150146,0,9555.315308,21,6.83E-05
"06/23/2022, 14:09:40",SELL,HUM,HUM,USD,21,454.83,0,-9551.43,0,-0.000406612
"06/23/2022, 14:09:40",BUY,NEE,NEE,USD,129,77.12000275,0,9948.480354,129,4.83E-05
"06/23/2022, 14:25:27",SELL,NEE,NEE,USD,129,77.195,0,-9958.155,0,0.000972475
"06/23/2022, 14:25:27",BUY,MA,MA,USD,31,315.2900085,0,9773.990265,31,1.86E-05
"06/23/2022, 14:40:13",SELL,MA,MA,USD,31,316.77,0,-9819.87,0,0.004694064
"06/23/2022, 14:40:13",BUY,NWSA,NWSA,USD,657,15.20499992,0,9989.68495,657,1.61E-05
"06/23/2022, 14:53:59",SELL,NWSA,NWSA,USD,657,15.24,0,-10012.68,0,0.002301879
"06/23/2022, 14:53:59",BUY,HUM,HUM,USD,21,455.0870428,0,9556.827899,21,5.16E-05
"06/23/2022, 15:06:43",SELL,HUM,HUM,USD,21,455.34,0,-9562.14,0,0.000555844
"06/23/2022, 15:06:43",BUY,MKTX,MKTX,USD,36,273.2749939,0,9837.89978,36,0.000398576
"06/23/2022, 15:18:26",SELL,MKTX,MKTX,USD,36,272.73,0,-9818.28,0,-0.001994306
"06/24/2022, 11:56:31",BUY,ETSY,ETSY,USD,121,82.36000061,0,9965.560074,121,5.46E-05
